lat,lon,Enb.avg_income,Enb.woz,Enbp.high_education,Enbp.independent,Enbp.low_education,Enbp.unemployed,Gcb.buurt,Gcb.buurtcode,Inp.Grey,Pnb.cohesion,Pnb.diversity,Pnb.good_life,Pnb.pop,Pnbp.complains_aq,Pnbp.complains_noise,Pnbp.feels_unsafe,Pnbp.mostly_by_car,Pnbp.mostly_walking,Pnbp.unhappy,Vc.milieuzone,Vc.mode_species,Vc.mode_tree_species,Vn.PM10_avg_2020,Vn.PM10_avg_2021,Vn.PM10_avg_2022,Vn.med_tree_height,Vn.number_species,Vn.number_tree_species,Vn.number_trees,Vn.prec_ann,Vn.tavg_ann,Vnp.Green
51400,5502,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,TANACETUM VULGARE,,,,,,4.0,,,63.416666666666664,9.850428263346354,0.0
51400,5503,89.4,732.0,,84.8,,,Roosten,224,0.04767062140459059,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.10369658312077874
51400,5504,,,,,,,Leenderheide,239,0.03982449427722959,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.11244470397898564
51401,5501,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,TRIFOLIUM ARVENSE,,,,,,1.0,,,63.416666666666664,9.850428263346354,0.0
51401,5502,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.010506610307356699
51401,5503,,,,,,,Leenderheide,239,0.22356832376833538,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.21996526446072687
51401,5504,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51401,5505,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51402,5426,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,SAPONARIA OFFICINALIS,,,,,,1.0,,,64.5,9.945994059244791,0.0
51402,5427,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,ONDATRA ZIBETHICUS,,,,,,7.0,,,64.5,9.945994059244791,0.06377906125940584
51402,5428,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.013329229505731203
51402,5429,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51402,5430,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.015770021726756248
51402,5431,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,PRUNUS PADUS,,,,,,1.0,,,64.5,9.945994059244791,0.028790914168508257
51402,5432,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0001990131983563254
51402,5433,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,STELLARIA GRAMINEA,,,,,,2.0,,,64.5,9.945994059244791,0.0005344935230228669
51402,5434,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,,,0.0
51402,5499,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,ERODIUM CICUTARIUM,,,,,,1.0,,,64.5,9.945994059244791,0.0
51402,5500,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51402,5501,89.4,732.0,,84.8,,,Roosten,224,0.0003309849753329579,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.005139519078905199
51402,5502,89.4,732.0,,84.8,,,Roosten,224,0.04058058532115149,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,Onbekend,,,,3.0,,1.0,1.0,63.416666666666664,9.850428263346354,0.2211274900541455
51402,5503,,,,,,,Leenderheide,239,0.2376024276983749,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.062125908749637956
51402,5504,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.11660611742431248
51402,5505,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5425,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51403,5426,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0023110328145171176,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51403,5427,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0057855311780331455,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0025556219004335113
51403,5428,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.014860383182484758,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.037783470381870674
51403,5429,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.05484488822284097,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,MEDICAGO SATIVA,,,,,,2.0,,,64.5,9.945994059244791,0.07565007686358491
51403,5430,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.06623284224726485,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.14707353571688372
51403,5431,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.05665078595517906,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,MEDICAGO SATIVA,,,,,,2.0,,,64.5,9.945994059244791,0.22630669113662896
51403,5432,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.05522057626624221,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.2747161613909428
51403,5433,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0516056633131759,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,SENECIO INAEQUIDENS,,,,,,1.0,,,64.5,9.945994059244791,0.2005033735513856
51403,5434,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.032033729246799446,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,,,0.1461783404156198
51403,5435,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.00045283343504836824,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.03168171388303639
51403,5490,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,TUSSILAGO FARFARA,,,,,,1.0,,,64.5,9.945994059244791,0.0
51403,5491,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51403,5492,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51403,5493,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,POPULUS TREMULA,,,,,,1.0,,,64.5,9.945994059244791,0.0
51403,5494,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51403,5495,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51403,5496,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51403,5497,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51403,5498,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,,,0.0
51403,5499,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51403,5500,89.4,732.0,,84.8,,,Roosten,224,0.0,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5501,89.4,732.0,,84.8,,,Roosten,224,0.00031152864966949175,7.6,0.26,8.4,6.0,40.0,44.0,7.0,68.0,5.0,3.0,0,,Onbekend,,,,3.0,,1.0,1.0,63.416666666666664,9.850428263346354,0.00036295396542423096
51403,5502,,,,,,,Leenderheide,239,0.04652190973491021,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.03734814354845849
51403,5503,,,,,,,Leenderheide,239,0.11051761035728196,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.48295036126869423
51403,5504,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.49032500668544043
51403,5505,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5506,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5507,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5508,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5509,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5510,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5511,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5512,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5513,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5514,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,JASIONE MONTANA,,,,,,1.0,,,63.416666666666664,9.850428263346354,0.0
51403,5515,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5516,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5517,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,ROSA RUGOSA,,,,,,1.0,,,63.416666666666664,9.850428263346354,0.0
51403,5518,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5519,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5520,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5521,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5522,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5523,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5524,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51403,5525,,,,,,,Leenderheide,239,0.0,,,,,,,,,,,0,,,,,,,,,,63.416666666666664,9.850428263346354,0.0
51404,5425,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.0,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51404,5426,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.009144880798882577,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51404,5427,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.2828621228728715,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51404,5428,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.49317538153942303,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51404,5429,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.5184831773810257,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51404,5430,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.5512475029974537,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51404,5431,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.4970762500199703,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51404,5432,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.36171398842021146,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51404,5433,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.38311256213116457,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51404,5434,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.49614581470621455,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,,,,,,,,,,,0.0
51404,5435,72.59,490.0,62.5,81.2,14.1,2.0,Ooievaarsnest,733,0.48349028273220784,6.4,0.48,7.7,8.0,24.0,39.0,6.0,54.0,15.0,5.0,0,MEDICAGO SATIVA,,,,,,1.0,,,64.5,9.945994059244791,0.505225452028432
51404,5436,,,,,,,Beemden,727,0.12186952597826553,,,,,,,,,,,0,,,,,,,,,,64.5,9.945994059244791,0.006860247470221218
51404,5437,,,,,,,Beemden,727,0.0,,,,,,,,,,,0,,,,,,,,,,64.5,9.945994059244791,0.0
51404,5438,,,,,,,Beemden,727,0.0,,,,,,,,,,,0,,,,,,,,,,64.5,9.945994059244791,0.0
